City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Dnipryany,UA,2023-02-02 21:40:41,46.7463,33.2729,1.25,88,23,2.68
135,Madang,PG,2023-02-02 21:40:41,-5.2246,145.7966,26.19,82,100,2.45
136,Zhigansk,RU,2023-02-02 21:37:46,66.7697,123.3711,-33.93,99,100,3.27
137,Shimoda,JP,2023-02-02 21:40:42,34.6667,138.95,3.39,67,100,6.58
138,Codrington,AU,2023-02-02 21:40:42,-38.2667,141.9667,11.61,71,100,7.37
139,Tabou,CI,2023-02-02 21:40:43,4.423,-7.3528,26.58,85,6,3.27
140,Teya,RU,2023-02-02 21:41:43,60.3778,92.6267,-16.4,98,100,1.63
141,Grindavik,IS,2023-02-02 21:41:44,63.8424,-22.4338,2.26,93,75,17.49
142,Portland,US,2023-02-02 21:30:15,45.5234,-122.6762,11.45,51,75,2.06
143,Barrow,US,2023-02-02 21:41:44,71.2906,-156.7887,-18.99,78,100,5.14
144,Akdepe,TM,2023-02-02 21:41:45,42.0551,59.3788,1.05,88,7,2.6
145,Somanda,TZ,2023-02-02 21:41:45,-3.3667,33.95,17.58,88,43,2.42
146,Pangody,RU,2023-02-02 21:41:45,65.85,74.4859,-15.34,98,48,3.76
147,Cayenne,GF,2023-02-02 21:41:46,4.9333,-52.3333,23.02,94,75,3.09
148,Esperance,AU,2023-02-02 21:41:46,-33.8667,121.9,16.08,73,46,3.56
149,Aras,ES,2023-02-02 21:41:46,42.5617,-2.356,1.23,81,0,5.14
150,Terrace,CA,2023-02-02 21:37:32,54.5163,-128.6035,0.95,100,100,3.09
151,Vaini,TO,2023-02-02 21:41:00,-21.2,-175.2,28.09,83,75,5.66
152,Plettenberg Bay,ZA,2023-02-02 21:41:47,-34.0527,23.3716,19.17,82,77,1.26
153,Salalah,OM,2023-02-02 21:41:07,17.0151,54.0924,23.05,60,75,1.54
154,Maniitsoq,GL,2023-02-02 21:41:48,65.4167,-52.9,-13.13,83,100,6.65
155,Safaga,EG,2023-02-02 21:41:48,26.7292,33.9365,14.71,48,1,6.59
156,Moree,AU,2023-02-02 21:41:48,-29.4667,149.85,25.9,50,0,3.19
157,Oyama,JP,2023-02-02 21:41:49,36.3,139.8,5.33,53,63,2.03
158,San Clemente,US,2023-02-02 21:41:49,33.427,-117.612,23.18,42,100,0.89
159,Ushtobe,KZ,2023-02-02 21:41:50,45.2514,77.9838,-3.98,89,100,2.11
160,Hofn,IS,2023-02-02 21:41:50,64.2539,-15.2082,3.69,81,78,9.38
161,Port Elizabeth,ZA,2023-02-02 21:41:50,-33.918,25.5701,20.73,89,75,4.63
162,Pisco,PE,2023-02-02 21:41:52,-13.7,-76.2167,26.03,69,0,9.77
163,Butaritari,KI,2023-02-02 21:41:52,3.0707,172.7902,27.14,78,100,8.04
164,Sao Gabriel Da Cachoeira,BR,2023-02-02 21:39:05,-0.1303,-67.0892,24.54,93,98,1.45
165,Lebu,CL,2023-02-02 21:40:46,-37.6167,-73.65,16.75,75,0,11.02
166,Moindou,NC,2023-02-02 21:41:53,-21.6924,165.677,28.53,61,82,2.06
167,Mostovskoy,RU,2023-02-02 21:41:53,44.4122,40.7936,-1.68,83,100,2.49
168,Severo-Kurilsk,RU,2023-02-02 21:38:59,50.6789,156.125,-2.75,93,100,21.93
